model,variant,candidate,lr,status,first_nan_epoch,best_val_nll_epoch,best_val_nll,best_score
RMTPP,value_conditioned,rmtpp_gru_h128,0.001,stable,,26.0,4.380993048138923,0.4388432873591061
RMTPP,value_conditioned,rmtpp_gru_h128,0.005,stable,,5.0,4.37985527250811,0.4385701620330541
RMTPP,value_conditioned,rmtpp_gru_h128,0.01,stable,,26.0,4.383622609922444,0.4379653364794848
TitanTPP,value_conditioned,mid_lmm,0.001,stable,,17.0,4.379255388207192,0.4387321004519903
TitanTPP,value_conditioned,small_lmm,0.001,stable,,42.0,4.381565007625722,0.4389192768993723
TitanTPP,value_conditioned,mid_lmm,0.005,nan,4.0,2.0,4.39604050848746,0.4348455869656345
TitanTPP,value_conditioned,small_lmm,0.005,nan,28.0,23.0,4.386186910169301,0.4374524770197056
TitanTPP,value_conditioned,mid_lmm,0.01,nan,10.0,9.0,4.398547722973715,0.4345233623256559
TitanTPP,value_conditioned,small_lmm,0.01,stable,,3.0,4.391832845264366,0.4370902332860597
TitanTPP,value_conditioned_hybrid,mid_lmm,0.001,stable,,19.0,4.381973963879814,0.4382807817736102
TitanTPP,value_conditioned_hybrid,small_lmm,0.001,stable,,32.0,4.383171968793875,0.4383298862230234
TitanTPP,value_conditioned_hybrid,mid_lmm,0.005,nan,6.0,3.0,4.406342671396603,0.4348163883225669
TitanTPP,value_conditioned_hybrid,small_lmm,0.005,stable,,41.0,4.3843837201977385,0.4381225976246112
TitanTPP,value_conditioned_hybrid,mid_lmm,0.01,nan,3.0,2.0,4.423268395008569,0.4289953923945231
TitanTPP,value_conditioned_hybrid,small_lmm,0.01,nan,8.0,4.0,4.401772462740445,0.4328931038561412
